Brand,Name,Boarding_time,Km,Discharge,New_price,Sec_price
Jeep,指南者(进口) 2011款 2.0L 自动 运动版,2011年12月,4.74万公里,国4,24.09万,9.6
江淮,瑞风 2012款 穿梭 2.0L 手动 汽油 长轴标准型,2012年2月,6.90万公里,国4 ,10.84万,4.5
江淮,瑞风 2011款 一家亲 2.0L汽油 手动标准版,2011年5月,8.60万公里,国4,13.00万,3.88
江淮,瑞风 2008款 穿梭系列 2.0L汽油 简配单空调型 7座,2008年7月,9.60万公里,国2,10.84万,2.68
江淮,瑞风 2011款 一家亲 2.0L汽油 手动标准版,2011年2月,9.67万公里,国4,13.00万,3.78
江淮,瑞风 2008款 穿梭系列 2.0L汽油 简配单空调型 7座,2008年5月,8.30万公里,国2,10.84万,2.36
江淮,瑞风 2011款 穿梭系列 2.0L汽油 标准版,2012年1月,6.00万公里,国3 ,10.84万,4.38
江淮,瑞风 2008款 穿梭系列 2.0L汽油 简配前后空调型 7座,2009年6月,9.30万公里,国3,11.48万,3
江淮,瑞风S5 2013款 2.0L 手动 尊贵版,2013年11月,3.70万公里,国4,10.94万,5.1
江淮,瑞风 2008款 穿梭系列 2.0L汽油 简配前后空调型 8座,2008年7月,10.00万公里,国3 ,11.48万,2.5
江淮,瑞风 2011款 穿梭系列 2.0L汽油 舒适版,2012年6月,8.70万公里,国4,11.48万,4.5
江淮,瑞风 2011款 穿梭系列 2.0L汽油 舒适版,2012年5月,9.60万公里,国4,11.48万,4.5
江淮,瑞风 2008款 Ⅰ 2.0L汽油 手动标准型,2008年5月,8.20万公里,国3 ,13.00万,2.46
江淮,瑞风M4 2016款 2.0L 手动 豪华型,2016年11月,1.86万公里,国5,13.00万,10
江淮,瑞风 2011款 穿梭系列 2.0L汽油 舒适版,2011年5月,8.60万公里,国4,11.48万,4.28
江淮,瑞风 2011款 一家亲 2.0L汽油 手动豪华版,2011年2月,8.60万公里,国4,13.87万,3.88
江淮,瑞风 2015款 穿梭 2.0L 手动 汽油 长轴舒适型,2016年5月,5.30万公里,国4 ,11.48万,8.8
金杯,海狮 2011款 2.0L 畅意系列标准型 欧4,2011年6月,7.00万公里,国4,暂无,2.68
金杯,阁瑞斯 2010款 睿翔 2.0L 手动 舒适型 短轴7座,2010年9月,8.00万公里,--,暂无,3.58
金杯,海狮 2011款 2.0L 畅享系列标准型 欧4,2012年6月,9.00万公里,国4,暂无,2.68
金杯,海狮 2011款 2.0L 畅意系列标准型 欧4,2012年1月,6.00万公里,国4,暂无,3.6
金杯,阁瑞斯 2011款 睿翔 2.0L 豪华型 手动 标准顶 长轴 11座,2012年5月,6.00万公里,国4,17.35万,4.3
金杯,海狮 2011款 2.0L 畅意系列标准型 欧4,2010年2月,6.90万公里,国4,暂无,2.72
金杯,海狮 2011款 2.0L 畅享系列经典型 欧3,2012年3月,8.00万公里,国3,暂无,2.88
金杯,海狮 2011款 2.0L 畅意系列标准型 欧4,2015年8月,5.00万公里,国4,暂无,4.5
金杯,阁瑞斯 2011款 睿翔 2.0L 豪华型 手动 标准顶 长轴 9座,2011年12月,6.80万公里,国4,17.45万,4.18
金杯,海狮 2016款 2.0L 手动 快运标准型,2017年1月,2.00万公里,国5,8.66万,5.5
金杯,阁瑞斯 2016款 2.0L 快运系列标准型,2017年5月,1.59万公里,国4,9.31万,6.99
金杯,阁瑞斯 2010款 睿翔 2.0L 手动 舒适型 短轴7座,2010年2月,9.60万公里,--,暂无,3.6
克莱斯勒,铂锐 2008款 2.0L舒适型,2008年4月,20.00万公里,国4,19.76万,5
雷诺,风朗 2013款 2.0L 自动 豪华版,2013年5月,3.73万公里,国4,19.84万,8.8
雷诺,科雷傲(进口) 2015款 2.0L 两驱 时尚版,2016年2月,3.80万公里,国4,24.18万,16
雷诺,科雷傲(进口) 2015款 2.0L 两驱 舒适版,2017年4月,1.12万公里,国4,26.03万,16.5
马自达,马自达6 2008款 轿跑 2.0L 豪华型,2008年1月,7.00万公里,国3,22.77万,4.74
马自达,马自达6 2008款 2.0L 手自一体豪华型,2009年1月,5.90万公里,国3 ,20.60万,5
马自达,马自达6 2007款 轿跑 2.0L 手自一体豪华型,2008年3月,8.46万公里,国4,22.77万,4.72
